city_id,city,country,latitude,longitude,timezone,data_source,ingested_at,feature_pipeline_version,timestamp,pm2_5,pm10,co,no,no2,o3,so2,nh3,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,wind_gust,precipitation,rain,cloud_cover,visibility,dew_point,weather_condition,boundary_layer_height,aqi,dominant_pollutant,aqi_pm2_5,aqi_pm10,aqi_o3,aqi_no2,aqi_so2,aqi_co
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 13:00:00+00:00,25.535,41.086,100.806,5.696,8.18,56.346,0.5,3.542,32.909,32.528,59.63,1007.713,2.8,152.985,3.81,0.0,0.0,27.919,10021.855,24.835,Clear,777.07,82.0,pm2_5,82.0,38.0,26.0,4.0,0.0,0.0
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 14:00:00+00:00,24.905,42.248,65.553,7.19,10.975,68.429,4.303,1.054,36.754,36.708,73.937,1012.308,1.339,190.502,1.883,0.0,0.0,62.24,11097.81,31.541,Clouds,974.646,80.0,pm2_5,80.0,39.0,31.0,5.0,1.0,0.0
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 15:00:00+00:00,18.806,34.578,53.59,0.549,1.279,70.063,6.023,0.5,37.287,37.256,64.829,1008.424,1.123,154.424,1.643,0.0,0.0,44.722,10096.949,30.252,Clear,1168.988,69.0,pm2_5,69.0,31.0,32.0,0.0,3.0,0.0
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 16:00:00+00:00,19.655,37.771,162.282,7.286,10.793,58.357,6.152,1.913,37.424,37.307,59.071,1006.183,1.47,150.794,2.609,7.011,7.011,73.677,9067.643,29.238,Rain,1278.654,71.0,pm2_5,71.0,34.0,27.0,5.0,3.0,1.0
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 17:00:00+00:00,34.481,56.423,114.284,5.408,7.569,53.636,2.985,7.862,38.899,38.944,57.434,1009.432,0.64,130.983,1.131,0.0,0.0,50.465,9631.408,30.386,Clear,1590.573,98.0,pm2_5,98.0,51.0,25.0,4.0,1.0,0.0
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 18:00:00+00:00,39.052,71.697,228.325,2.903,9.369,51.261,7.463,6.998,39.095,39.211,55.619,1008.175,0.254,139.664,0.4,0.0,0.0,24.37,9362.082,30.219,Clear,1833.101,110.0,pm2_5,110.0,59.0,24.0,4.0,3.0,1.0
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 19:00:00+00:00,29.284,59.389,313.261,1.343,4.463,43.566,8.945,6.211,42.603,42.727,53.881,1008.844,0.186,167.104,0.257,0.0,0.0,36.002,9551.338,33.379,Clear,1681.435,88.0,pm2_5,88.0,53.0,20.0,2.0,4.0,2.0
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 20:00:00+00:00,29.818,64.907,318.827,1.653,2.671,32.704,7.535,11.698,41.16,40.928,61.169,1009.338,2.077,187.206,2.89,0.0,0.0,48.587,10195.936,33.394,Clear,1886.841,90.0,pm2_5,90.0,55.0,15.0,1.0,3.0,2.0
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 21:00:00+00:00,32.508,64.186,376.05,3.583,8.55,28.689,8.807,14.659,42.576,42.345,58.091,1011.705,2.028,82.126,3.443,0.0,0.0,65.155,8719.119,34.194,Clouds,2224.063,95.0,pm2_5,95.0,55.0,13.0,4.0,4.0,3.0
karachi_pakistan,Karachi,Pakistan,24.861,67.001,Asia/Karachi,sample,2026-07-24 13:46:19.719188+00:00,1.0.0,2026-07-17 22:00:00+00:00,20.964,31.215,256.292,11.133,14.372,26.484,7.381,5.961,40.543,40.429,57.152,1010.72,1.425,240.032,1.814,4.861,4.861,64.287,9277.995,31.973,Rain,1718.815,73.0,pm2_5,73.0,29.0,12.0,7.0,3.0,2.0
